day,head_count,company_id
2011-01-24,25,1
2011-01-24,17,2
2011-01-24,9,3
2011-01-24,12,4
2011-01-24,5,5
2011-01-24,3,6
2011-01-24,1,7
2011-01-24,6,8
2011-01-24,3,9
2011-01-25,27,1
2011-01-25,19,2
2011-01-25,10,3
2011-01-25,12,4
2011-01-25,5,5
2011-01-25,3,6
2011-01-25,1,7
2011-01-25,6,8
2011-01-25,3,9
2011-01-26,29,1
2011-01-26,19,2
2011-01-26,12,3
2011-01-26,13,4
2011-01-26,6,5
2011-01-26,3,6
2011-01-26,1,7
2011-01-26,6,8
2011-01-26,3,9
2011-01-27,29,1
2011-01-27,19,2
2011-01-27,12,3
2011-01-27,13,4
2011-01-27,6,5
2011-01-27,3,6
2011-01-27,1,7
2011-01-27,6,8
2011-01-27,3,9
2011-01-28,29,1
2011-01-28,19,2
2011-01-28,12,3
2011-01-28,13,4
2011-01-28,6,5
2011-01-28,3,6
2011-01-28,1,7
2011-01-28,6,8
2011-01-28,3,9
2011-01-29,29,1
2011-01-29,19,2
2011-01-29,12,3
2011-01-29,13,4
2011-01-29,6,5
2011-01-29,3,6
2011-01-29,1,7
2011-01-29,6,8
2011-01-29,3,9
2011-01-30,29,1
2011-01-30,19,2
2011-01-30,12,3
2011-01-30,13,4
2011-01-30,6,5
2011-01-30,3,6
2011-01-30,1,7
2011-01-30,6,8
2011-01-30,3,9
2011-01-31,59,1
2011-01-31,31,2
2011-01-31,19,3
2011-01-31,18,4
2011-01-31,13,5
2011-01-31,10,6
2011-01-31,7,7
2011-01-31,11,8
2011-01-31,6,9
2011-01-31,1,10
2011-02-01,66,1
2011-02-01,33,2
2011-02-01,20,3
2011-02-01,19,4
2011-02-01,13,5
2011-02-01,11,6
2011-02-01,7,7
2011-02-01,11,8
2011-02-01,7,9
2011-02-01,1,10
2011-02-02,67,1
2011-02-02,35,2
2011-02-02,20,3
2011-02-02,19,4
2011-02-02,13,5
2011-02-02,11,6
2011-02-02,7,7
2011-02-02,12,8
2011-02-02,7,9
2011-02-02,2,10
2011-02-03,67,1
2011-02-03,36,2
2011-02-03,20,3
2011-02-03,19,4
2011-02-03,13,5
2011-02-03,11,6
2011-02-03,7,7
2011-02-03,12,8
2011-02-03,7,9
2011-02-03,2,10
2011-02-04,67,1
2011-02-04,36,2
2011-02-04,20,3
2011-02-04,19,4
2011-02-04,13,5
2011-02-04,11,6
2011-02-04,7,7
2011-02-04,12,8
2011-02-04,7,9
2011-02-04,2,10
2011-02-05,67,1
2011-02-05,36,2
2011-02-05,20,3
2011-02-05,19,4
2011-02-05,13,5
2011-02-05,11,6
2011-02-05,7,7
2011-02-05,12,8
2011-02-05,7,9
2011-02-05,2,10
2011-02-06,67,1
2011-02-06,36,2
2011-02-06,20,3
2011-02-06,19,4
2011-02-06,13,5
2011-02-06,11,6
2011-02-06,7,7
2011-02-06,12,8
2011-02-06,7,9
2011-02-06,2,10
2011-02-07,99,1
2011-02-07,55,2
2011-02-07,25,3
2011-02-07,25,4
2011-02-07,17,5
2011-02-07,15,6
2011-02-07,12,7
2011-02-07,13,8
2011-02-07,10,9
2011-02-07,5,10
2011-02-08,102,1
2011-02-08,57,2
2011-02-08,26,3
2011-02-08,25,4
2011-02-08,18,5
2011-02-08,15,6
2011-02-08,12,7
2011-02-08,13,8
2011-02-08,11,9
2011-02-08,5,10
2011-02-09,104,1
2011-02-09,58,2
2011-02-09,26,3
2011-02-09,25,4
2011-02-09,18,5
2011-02-09,15,6
2011-02-09,12,7
2011-02-09,13,8
2011-02-09,11,9
2011-02-09,5,10
2011-02-10,104,1
2011-02-10,58,2
2011-02-10,26,3
2011-02-10,25,4
2011-02-10,20,5
2011-02-10,15,6
2011-02-10,12,7
2011-02-10,13,8
2011-02-10,11,9
