day,head_count,company_id
2011-01-24,25,1.0
2011-01-24,17,2.0
2011-01-24,9,3.0
2011-01-24,12,4.0
2011-01-24,5,5.0
2011-01-24,3,6.0
2011-01-24,1,7.0
2011-01-24,6,8.0
2011-01-24,3,9.0
2011-01-25,27,1.0
2011-01-25,19,2.0
2011-01-25,10,3.0
2011-01-25,12,4.0
2011-01-25,5,5.0
2011-01-25,3,6.0
2011-01-25,1,7.0
2011-01-25,6,8.0
2011-01-25,3,9.0
2011-01-26,29,1.0
2011-01-26,19,2.0
2011-01-26,12,3.0
2011-01-26,13,4.0
2011-01-26,6,5.0
2011-01-26,3,6.0
2011-01-26,1,7.0
2011-01-26,6,8.0
2011-01-26,3,9.0
2011-01-27,29,1.0
2011-01-27,19,2.0
2011-01-27,12,3.0
2011-01-27,13,4.0
2011-01-27,6,5.0
2011-01-27,3,6.0
2011-01-27,1,7.0
2011-01-27,6,8.0
2011-01-27,3,9.0
2011-01-28,29,1.0
2011-01-28,19,2.0
2011-01-28,12,3.0
2011-01-28,13,4.0
2011-01-28,6,5.0
2011-01-28,3,6.0
2011-01-28,1,7.0
2011-01-28,6,8.0
2011-01-28,3,9.0
2011-01-29,29,1.0
2011-01-29,19,2.0
2011-01-29,12,3.0
2011-01-29,13,4.0
2011-01-29,6,5.0
2011-01-29,3,6.0
2011-01-29,1,7.0
2011-01-29,6,8.0
2011-01-29,3,9.0
2011-01-30,29,1.0
2011-01-30,19,2.0
2011-01-30,12,3.0
2011-01-30,13,4.0
2011-01-30,6,5.0
2011-01-30,3,6.0
2011-01-30,1,7.0
2011-01-30,6,8.0
2011-01-30,3,9.0
2011-01-31,57,1.0
2011-01-31,31,2.0
2011-01-31,19,3.0
2011-01-31,18,4.0
2011-01-31,12,5.0
2011-01-31,10,6.0
2011-01-31,7,7.0
2011-01-31,11,8.0
2011-01-31,6,9.0
2011-01-31,1,10.0
2011-02-01,64,1.0
2011-02-01,33,2.0
2011-02-01,20,3.0
2011-02-01,19,4.0
2011-02-01,12,5.0
2011-02-01,11,6.0
2011-02-01,7,7.0
2011-02-01,11,8.0
2011-02-01,7,9.0
2011-02-01,1,10.0
2011-02-02,65,1.0
2011-02-02,35,2.0
2011-02-02,20,3.0
2011-02-02,19,4.0
2011-02-02,12,5.0
2011-02-02,11,6.0
2011-02-02,7,7.0
2011-02-02,12,8.0
2011-02-02,7,9.0
2011-02-02,2,10.0
2011-02-03,65,1.0
2011-02-03,36,2.0
2011-02-03,20,3.0
2011-02-03,19,4.0
2011-02-03,12,5.0
2011-02-03,11,6.0
2011-02-03,7,7.0
2011-02-03,12,8.0
2011-02-03,7,9.0
2011-02-03,2,10.0
2011-02-04,65,1.0
2011-02-04,36,2.0
2011-02-04,20,3.0
2011-02-04,19,4.0
2011-02-04,12,5.0
2011-02-04,11,6.0
2011-02-04,7,7.0
2011-02-04,12,8.0
2011-02-04,7,9.0
2011-02-04,2,10.0
2011-02-05,65,1.0
2011-02-05,36,2.0
2011-02-05,20,3.0
2011-02-05,19,4.0
2011-02-05,12,5.0
2011-02-05,11,6.0
2011-02-05,7,7.0
2011-02-05,12,8.0
2011-02-05,7,9.0
2011-02-05,2,10.0
2011-02-06,65,1.0
2011-02-06,36,2.0
2011-02-06,20,3.0
2011-02-06,19,4.0
2011-02-06,12,5.0
2011-02-06,11,6.0
2011-02-06,7,7.0
2011-02-06,12,8.0
2011-02-06,7,9.0
2011-02-06,2,10.0
2011-02-07,97,1.0
2011-02-07,55,2.0
2011-02-07,25,3.0
2011-02-07,25,4.0
2011-02-07,15,5.0
2011-02-07,15,6.0
2011-02-07,11,7.0
2011-02-07,13,8.0
2011-02-07,10,9.0
2011-02-07,5,10.0
2011-02-08,99,1.0
2011-02-08,57,2.0
2011-02-08,26,3.0
2011-02-08,25,4.0
2011-02-08,16,5.0
2011-02-08,15,6.0
2011-02-08,11,7.0
2011-02-08,13,8.0
2011-02-08,11,9.0
2011-02-08,5,10.0
2011-02-09,101,1.0
2011-02-09,58,2.0
2011-02-09,26,3.0
2011-02-09,25,4.0
2011-02-09,16,5.0
2011-02-09,15,6.0
2011-02-09,11,7.0
2011-02-09,13,8.0
2011-02-09,11,9.0
2011-02-09,5,10.0
2011-02-10,101,1.0
2011-02-10,58,2.0
2011-02-10,26,3.0
2011-02-10,25,4.0
2011-02-10,18,5.0
2011-02-10,15,6.0
2011-02-10,11,7.0
2011-02-10,13,8.0
2011-02-10,11,9.0
2011-02-10,5,10.0
2011-02-11,101,1.0
2011-02-11,58,2.0
2011-02-11,26,3.0
2011-02-11,25,4.0
2011-02-11,18,5.0
2011-02-11,15,6.0
2011-02-11,11,7.0
2011-02-11,13,8.0
2011-02-11,11,9.0
2011-02-11,5,10.0
2011-02-12,101,1.0
2011-02-12,58,2.0
2011-02-12,26,3.0
2011-02-12,25,4.0
2011-02-12,18,5.0
2011-02-12,15,6.0
2011-02-12,11,7.0
2011-02-12,13,8.0
2011-02-12,11,9.0
2011-02-12,5,10.0
2011-02-13,101,1.0
2011-02-13,58,2.0
2011-02-13,26,3.0
2011-02-13,25,4.0
2011-02-13,18,5.0
2011-02-13,15,6.0
2011-02-13,11,7.0
2011-02-13,13,8.0
2011-02-13,11,9.0
2011-02-13,5,10.0
2011-02-14,126,1.0
2011-02-14,72,2.0
2011-02-14,37,3.0
2011-02-14,28,4.0
2011-02-14,33,5.0
2011-02-14,20,6.0
2011-02-14,13,7.0
2011-02-14,21,8.0
2011-02-14,13,9.0
2011-02-14,8,10.0
2011-02-15,127,1.0
2011-02-15,74,2.0
2011-02-15,38,3.0
2011-02-15,28,4.0
2011-02-15,33,5.0
2011-02-15,21,6.0
2011-02-15,15,7.0
2011-02-15,22,8.0
2011-02-15,13,9.0
